 ID, Name, Parameters, Thread, Context,
0,glClear,( mask = COLOR|DEPTH ),0x2ABD,74,
,eglGetError,( returnVal = 12288 ),0x2ABD,74,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x2ABD,74,
,glBindFramebuffer,( target = GL_FRAMEBUFFER; framebuffer = 85 ),0x2ABD,74,
,glClearColor,( red = 1; green = 1; blue = 1; alpha = 1 ),0x2ABD,74,
,glDepthMask,( flag = 1 ),0x2ABD,74,
1,glDrawElements,( mode = GL_TRIANGLES; count = 936; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x2ABD,74,
,glViewport,( x = 0; y = 0; width = 1024; height = 1024 ),0x2ABD,74,
,glDisable,( cap = GL_BLEND ),0x2ABD,74,
,glEnable,( cap = GL_CULL_FACE ),0x2ABD,74,
,glCullFace,( mode = GL_BACK ),0x2ABD,74,
,glFrontFace,( mode = GL_CW ),0x2ABD,74,
,glUseProgram,( program = 383 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 0; count = 1; transpose = 0; value = 0x221773672 ),0x2ABD,74,
,glUniform4fv,( location = 1; count = 192; value = 0x272763960 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 193; count = 1; transpose = 0; value = 0x221773672 ),0x2ABD,74,
,glUniform4fv,( location = 194; count = 1; value = 0x221679752 ),0x2ABD,74,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 6612 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6609 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 0; size = 3; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x0 ),0x2ABD,74,
,glEnableVertexAttribArray,( index = 1 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 24; ptr = 0x12 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 3; size = 2; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x16 ),0x2ABD,74,
,glEnableVertexAttribArray,( index = 7 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6610 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 7; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x0 ),0x2ABD,74,
,glEnableVertexAttribArray,( index = 8 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 8; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x8 ),0x2ABD,74,
,glEnableVertexAttribArray,( index = 5 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6611 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 5; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 8; ptr = 0x0 ),0x2ABD,74,
,glEnableVertexAttribArray,( index = 6 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 6; size = 4; type = GL_UNSIGNED_BYTE; normalized = 0; stride = 8; ptr = 0x4 ),0x2ABD,74,
,glDisableVertexAttribArray,( index = 2 ),0x2ABD,74,
2,glDrawElements,( mode = GL_TRIANGLES; count = 2916; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x2ABD,74,
,glUseProgram,( program = 389 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 0; count = 1; transpose = 0; value = 0x221773672 ),0x2ABD,74,
,glUniform4fv,( location = 1; count = 192; value = 0x272773200 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 193; count = 1; transpose = 0; value = 0x221775184 ),0x2ABD,74,
,glUniform4fv,( location = 194; count = 1; value = 0x221680016 ),0x2ABD,74,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 6616 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6613 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 0; size = 3; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 24; ptr = 0x12 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 3; size = 2; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x16 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6614 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 7; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 8; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x8 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6615 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 5; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 8; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 6; size = 4; type = GL_UNSIGNED_BYTE; normalized = 0; stride = 8; ptr = 0x4 ),0x2ABD,74,
3,glDrawElements,( mode = GL_TRIANGLES; count = 936; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x2ABD,74,
,glUseProgram,( program = 386 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 0; count = 1; transpose = 0; value = 0x221774824 ),0x2ABD,74,
,glUniform4fv,( location = 1; count = 192; value = 0x272763960 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 193; count = 1; transpose = 0; value = 0x221773672 ),0x2ABD,74,
,glUniform4fv,( location = 194; count = 1; value = 0x221679848 ),0x2ABD,74,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 6620 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6617 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 0; size = 3; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 24; ptr = 0x12 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 3; size = 2; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x16 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6618 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 7; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 8; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x8 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6619 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 5; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 8; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 6; size = 4; type = GL_UNSIGNED_BYTE; normalized = 0; stride = 8; ptr = 0x4 ),0x2ABD,74,
4,glDrawElements,( mode = GL_TRIANGLES; count = 15144; type = GL_UNSIGNED_SHORT; indices = 0x9270 ),0x2ABD,74,
,glUseProgram,( program = 380 ),0x2ABD,74,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 5622 ),0x2ABD,74,
,glBindSampler,( unit = 0; sampler = 3 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 0; count = 1; transpose = 0; value = 0x221775544 ),0x2ABD,74,
,glUniform4fv,( location = 1; count = 192; value = 0x272767040 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 193; count = 1; transpose = 0; value = 0x221774248 ),0x2ABD,74,
,glUniform4fv,( location = 194; count = 1; value = 0x221679752 ),0x2ABD,74,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 6624 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6621 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 0; size = 3; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 24; ptr = 0x12 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 3; size = 2; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x16 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6622 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 7; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 8; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x8 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6623 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 5; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 8; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 6; size = 4; type = GL_UNSIGNED_BYTE; normalized = 0; stride = 8; ptr = 0x4 ),0x2ABD,74,
5,glDrawElements,( mode = GL_TRIANGLES; count = 936; type = GL_UNSIGNED_SHORT; indices = 0x0 ),0x2ABD,74,
,glUseProgram,( program = 386 ),0x2ABD,74,
,glBindTexture,( target = GL_TEXTURE_2D; texture = 0 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 0; count = 1; transpose = 0; value = 0x221774248 ),0x2ABD,74,
,glUniform4fv,( location = 1; count = 192; value = 0x272773200 ),0x2ABD,74,
,glUniformMatrix4fv,( location = 193; count = 1; transpose = 0; value = 0x221773672 ),0x2ABD,74,
,glUniform4fv,( location = 194; count = 1; value = 0x221680040 ),0x2ABD,74,
,glBindBuffer,( target = GL_ELEMENT_ARRAY_BUFFER; buffer = 6628 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6625 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 0; size = 3; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 1; size = 4; type = GL_UNSIGNED_BYTE; normalized = 1; stride = 24; ptr = 0x12 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 3; size = 2; type = GL_FLOAT; normalized = 0; stride = 24; ptr = 0x16 ),0x2ABD,74,
,glBindBuffer,( target = GL_ARRAY_BUFFER; buffer = 6626 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 7; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x0 ),0x2ABD,74,
,glVertexAttribPointer,( indx = 8; size = 4; type = GL_SHORT; normalized = 1; stride = 16; ptr = 0x8 ),0x2ABD,74,
